,AMZN_open,AMZN_high,AMZN_low,AMZN_close,AMZN_adjusted_close,AMZN_volume,AMZN_dividend_amount,AMZN_split_coefficient,AMZN_daily_range,AMZN_relative_returns,AMZN_log_returns,AMZN_ema_20,AMZN_ema_50,AMZN_ema_100,AMZN_real_middle_band,AMZN_real_upper_band,AMZN_real_lower_band,AMZN_RSI,AMZN_ADX,AMZN_MACD,MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_adjusted_close,MSFT_volume,MSFT_dividend_amount,MSFT_split_coefficient,MSFT_daily_range,MSFT_relative_returns,MSFT_log_returns,MSFT_ema_20,MSFT_ema_50,MSFT_ema_100,MSFT_real_upper_band,MSFT_real_middle_band,MSFT_real_lower_band,MSFT_RSI,MSFT_ADX,MSFT_MACD,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_adjusted_close,AAPL_volume,AAPL_dividend_amount,AAPL_split_coefficient,AAPL_daily_range,AAPL_relative_returns,AAPL_log_returns,AAPL_ema_20,AAPL_ema_50,AAPL_ema_100,AAPL_real_upper_band,AAPL_real_middle_band,AAPL_real_lower_band,AAPL_RSI,AAPL_ADX,AAPL_MACD,GOOGL_open,GOOGL_high,GOOGL_low,GOOGL_close,GOOGL_adjusted_close,GOOGL_volume,GOOGL_dividend_amount,GOOGL_split_coefficient,GOOGL_daily_range,GOOGL_relative_returns,GOOGL_log_returns,GOOGL_ema_20,GOOGL_ema_50,GOOGL_ema_100,GOOGL_real_middle_band,GOOGL_real_upper_band,GOOGL_real_lower_band,GOOGL_RSI,GOOGL_ADX,GOOGL_MACD,WMT_open,WMT_high,WMT_low,WMT_close,WMT_adjusted_close,WMT_volume,WMT_dividend_amount,WMT_split_coefficient,WMT_daily_range,WMT_relative_returns,WMT_log_returns,WMT_ema_20,WMT_ema_50,WMT_ema_100,WMT_real_upper_band,WMT_real_lower_band,WMT_real_middle_band,WMT_RSI,WMT_ADX,WMT_MACD,GS_open,GS_high,GS_low,GS_close,GS_adjusted_close,GS_volume,GS_dividend_amount,GS_split_coefficient,GS_daily_range,GS_relative_returns,GS_log_returns,GS_ema_20,GS_ema_50,GS_ema_100,GS_real_lower_band,GS_real_middle_band,GS_real_upper_band,GS_RSI,GS_ADX,GS_MACD,JPM_open,JPM_high,JPM_low,JPM_close,JPM_adjusted_close,JPM_volume,JPM_dividend_amount,JPM_split_coefficient,JPM_daily_range,JPM_relative_returns,JPM_log_returns,JPM_ema_20,JPM_ema_50,JPM_ema_100,JPM_real_upper_band,JPM_real_lower_band,JPM_real_middle_band,JPM_RSI,JPM_ADX,JPM_MACD,two_yr_us_bond,ten_yr_us_bond,thirty_yr_us_bond,vix,oil_etf_vol,gold_etf_vol,china_etf_vol,emer_markets_etf_vol,russel_2k_etf_vol,energy_etf_vol,SP500,DJIA,NASDAQ,crude_oil_texas,gold_morning,gold_afternoon,crude_oil_brent,hh_natural_gas,high_yield_master_II_tri,corporate_master_tri,economic_uncertainty_index,USEU,CHUS,JPUS,CAUS,USUK,KOUS,MXUS,BZUS,INUS,USAL,SZUS,SFUS,HKUS,MAUS,SIUS
2020-02-24,2003.18,2039.3,1987.97,2009.29,2009.29,6546997.0,0.0,1.0,51.32999999999993,0.01852753023713216,0.01835798649823861,1953.4455615642219,1952.9880137460725,1953.316260710819,2057.0019,2279.724,1834.2797,52.1208,32.128,58.5446,167.77,174.55,163.23,170.89,170.89,68311066.0,0.0,1.0,11.320000000000022,0.016778723151067876,0.016639515370341584,170.27957375441986,171.5744292070669,172.14140357189814,193.8603,178.2592,162.658,48.4878,41.969,4.1584,297.26,304.18,289.23,298.18,298.18,55548828.0,0.0,1.0,14.949999999999989,0.03505970563732297,0.03445911165963267,293.9371249070481,296.4279604998245,297.53521969136585,330.6355,316.2876,301.9398,43.4787,25.3453,1.9318,1423.05,1436.38,1406.79,1419.86,1419.86,2478039.0,0.0,1.0,29.590000000000146,0.024193548387096753,0.02390552085355413,1381.7996925884056,1383.7303074965373,1384.8717366332917,1479.2005,1547.6125,1410.7885,44.8613,33.9919,16.4541,117.46,118.46,115.952,116.32,116.32,6615762.0,0.0,1.0,2.5079999999999956,0.01687210420491292,0.01673135124762659,114.7199428466632,115.30047966866054,115.56775161669785,119.5427,114.2945,116.9186,47.9226,17.2383,0.2559,223.23,226.69,222.54,224.54,223.1507,4138388.0,0.0,1.0,4.150000000000006,0.03184633560448247,0.03134975636466386,210.83453245539226,209.97609360029014,209.71415772905928,226.9971,236.1971,245.3971,38.8603,16.6482,-2.0561,131.44,133.2,130.7988,132.16,132.16,13609518.0,0.0,1.0,2.4011999999999887,0.04672897196261672,0.04567003683318838,122.98509117183929,122.11519166473995,121.81841709841135,140.3134,132.1013,136.2073,41.9455,14.5731,-0.1114,1.26,1.38,1.84,25.03,39.53,17.58,26.48,24.9,24.73,28.07,3225.89,27960.8,9221.280999999999,51.36,1682.35,1671.65,56.04,1.94,1417.92,3363.53,94.14,1.0857,7.0286,110.56,1.3282,1.2923,1218.5,19.089000000000002,4.3878,71.92,0.6612,0.9776,15.128,7.7951,4.2255,1.399
2020-02-21,2142.15,2144.55,2088.0,2095.97,2095.97,4650740.0,0.0,1.0,56.55000000000018,0.04313961648144371,0.042235027540891146,1967.0193176057246,1958.595150461913,1956.1410872313968,2062.0242,2298.7127,1825.3356,62.7301,33.7006,71.5287,183.17,183.5,177.25,178.59,178.59,48600385.0,0.0,1.0,6.25,0.04505822458891684,0.044072601174591775,171.07104292066558,171.8495496303192,172.26909855067242,195.4181,179.0349,162.6516,57.7657,43.5522,5.4635,318.62,320.45,310.5,313.05,313.05,32426415.0,0.0,1.0,9.949999999999989,0.04986920651955207,0.048665591191066504,295.7573987254244,297.0798051861059,297.8424430638141,329.0969,318.1937,307.2906,51.994,25.2349,3.9609,1504.58,1510.94,1478.49,1483.46,1483.46,2126843.0,0.0,1.0,32.450000000000045,0.044793148620286605,0.04381892191926262,1391.481626627605,1387.6412758300066,1386.8239794722363,1485.4468,1548.5631,1422.3306,56.415,35.1519,24.607,117.44,118.75,117.31,118.58,118.58,6242101.0,0.0,1.0,1.4399999999999977,0.019429160935350742,0.019242824494012822,115.08756733745719,115.42908830910524,115.62740009953552,119.7671,114.1961,116.9816,54.9566,18.0254,0.3611,230.91,231.7994,228.37,230.62,229.193,3081618.0,0.0,1.0,3.429399999999987,0.02707721732443602,0.026717115388194657,212.5829579358311,210.7296977728278,210.0998773779888,230.3177,237.4242,244.5307,43.8761,15.7576,-1.2096,136.55,136.92,134.9225,135.81,135.81,9771933.0,0.0,1.0,1.9974999999999739,0.02761803874092017,0.027243540343308226,124.20651106023556,122.65224297200506,122.09547814596755,140.5795,132.6873,136.6334,49.5338,13.8434,0.2782,1.34,1.46,1.9,17.08,35.87,15.79,22.75,19.56,18.94,23.01,3337.75,28992.41,9576.59,53.36,1633.7,1643.3,58.6,1.96,1428.24,3353.08,84.33,1.0855,7.0255,111.74,1.3217,1.2966,1207.91,18.813,4.383,71.9,0.6632,0.9781,14.966,7.7873,4.189,1.3969999999999998
2020-02-20,2173.07,2176.79,2127.45,2153.1,2153.1,3131342.0,0.0,1.0,49.340000000000146,0.027257069519124766,0.026892210742734513,1984.7412873575604,1966.2227916202694,1960.0412637218642,2058.4509,2303.0203,1813.8815,71.8929,34.0698,78.2351,186.95,187.25,181.1,184.42,184.42,36862376.0,0.0,1.0,6.150000000000006,0.03264460496108401,0.03212308927758656,172.34237216631647,172.34250846834587,172.5097104605601,196.2514,179.0817,161.912,66.985,44.6666,6.2659,322.63,324.65,318.21,320.3,320.3,25141489.0,0.0,1.0,6.439999999999998,0.02315923973806111,0.022895134423793095,298.09478932300306,297.9904010611606,298.2871471615603,329.2263,318.7352,308.244,57.1811,26.2631,4.9792,1519.01,1527.07,1504.26,1516.99,1516.99,1298386.0,0.0,1.0,22.809999999999945,0.022602564275410186,0.02235091126418709,1403.4348050440237,1392.7137748170653,1389.401524433182,1485.656,1548.781,1422.5309,64.7695,36.1567,28.1795,117.21,118.11,116.86,117.69,117.69,5022949.0,0.0,1.0,1.25,-0.007505481531455582,-0.007533789389650991,115.33541806722317,115.51775151266973,115.66824366192095,119.4246,114.2021,116.8134,52.3394,18.5282,0.2601,236.41,236.9,231.25,232.73,231.29,3181512.0,0.0,1.0,5.650000000000006,0.009149494094496724,0.009107891045426086,214.3645809895615,211.53598413467768,210.5194837665435,231.4008,238.1404,244.88,45.8262,15.3507,-0.7305,137.17,138.36,136.53,137.49,137.49,7422767.0,0.0,1.0,1.8300000000000125,0.012370223105809597,0.012294337073165629,125.47160524497504,123.23411579663231,122.40032016287908,140.6745,132.7656,136.7201,53.7886,13.9171,0.3998,1.39,1.52,1.97,15.56,33.16,13.35,20.92,18.48,17.43,20.88,3373.23,29219.98,9750.965,53.77,1610.35,1619.0,59.72,1.98,1429.08,3344.47,69.45,1.0797,7.0225,111.86,1.3259,1.2877,1198.34,18.82,4.3845,71.67,0.6618,0.9831,15.118,7.7831,4.1806,1.4005
2020-02-19,2167.8,2185.1,2161.12,2170.22,2170.22,2561165.0,0.0,1.0,23.980000000000018,0.007951325995076752,0.007919880779991395,2002.4059266568402,1974.2226821449647,1964.2032188956887,2048.4879,2293.6916,1803.2841,75.0122,33.8027,79.84,188.06,188.18,186.47,187.28,187.28,29997471.0,0.51,1.0,1.710000000000008,0.015508079384014772,0.015389058071660244,173.76500338857204,172.92829244997938,172.8021914415391,196.2024,178.5198,160.8371,72.3676,45.1123,6.6053,320.0,324.57,320.0,323.62,323.62,23495991.0,0.0,1.0,4.569999999999993,0.010365282547611487,0.010311931356549842,300.5257617684314,298.9954833724876,298.78878781182647,329.1009,318.5704,308.04,59.7754,27.3741,5.4683,1527.2,1530.74,1520.98,1524.87,1524.87,1137338.0,0.0,1.0,9.759999999999991,0.005194496997343423,0.005181052137240627,1415.0000617064977,1397.8963718830628,1392.0840685038122,1482.3577,1543.4145,1421.3008,66.9842,36.4699,28.9154,119.5,119.94,117.68,117.68,117.68,7184841.0,0.0,1.0,2.259999999999991,-8.496898631993322e-05,-8.497259638851062e-05,115.55871158463049,115.60254557099641,115.70808042109084,119.251,114.1912,116.7211,52.3099,19.3072,0.2179,235.0,237.8,233.28,237.33,235.8615,2205779.0,0.0,1.0,4.52000000000001,0.019765229798089035,0.019572433939102574,216.41190660960325,212.48992593331775,211.0213058701763,231.8821,238.7099,245.5378,50.4721,15.231,-0.3233,136.91,138.39,136.34,137.49,137.49,7070602.0,0.0,1.0,2.049999999999983,0.0,0.0,126.61621426926314,123.79317007911732,122.69912570420821,140.5466,132.7314,136.639,53.7886,14.4104,0.3781,1.42,1.56,2.01,14.38,32.27,13.34,20.11,17.43,15.78,20.03,3386.15,29348.03,9817.18,53.31,1609.5,1604.2,59.72,2.01,1428.9,3337.64,103.15,1.0794,6.9975,111.17,1.3232,1.2934,1191.1,18.588,4.3660000000000005,71.55,0.6673,0.9839,14.98,7.7719,4.1599,1.3945
2020-02-18,2125.02,2166.07,2124.11,2155.67,2155.67,2951070.0,0.0,1.0,41.960000000000036,-0.006704389416741008,-0.006726964794793844,2017.0025050704744,1981.338263237319,1967.9946403036947,2035.6739,2275.9486,1795.3993,74.105,32.8869,78.9841,185.605,187.7,185.5,187.23,186.7215,27853113.0,0.0,1.0,2.1999999999999886,-0.0029821657411363,-0.002986621257654143,174.99895544680325,173.4692025499802,173.07782131398386,195.1789,177.5976,160.0163,72.3307,44.3204,6.6513,315.36,319.75,314.61,319.0,319.0,38190545.0,0.0,1.0,5.139999999999986,-0.014276002719238678,-0.014378885186817847,302.28521302858076,299.7799742206254,299.1890098353547,328.4967,318.0389,307.5811,57.2089,28.3995,5.675,1514.34,1530.56,1511.01,1519.44,1519.44,1284011.0,0.0,1.0,19.549999999999955,-0.003560959294890642,-0.0035673146022530133,1424.946722496355,1402.6627886719623,1394.6059681374,1477.8827,1535.4279,1420.3374,66.2282,36.243,28.6318,118.47,119.95,117.36,119.63,119.63,11513005.0,0.0,1.0,2.5900000000000034,0.01657036029911607,0.01643456988963088,115.9464533384752,115.7604849603691,115.78574219493063,119.0678,114.1725,116.6201,59.1046,19.7595,0.162,236.55,237.07,231.2,233.21,231.767,2736548.0,0.0,1.0,5.8700000000000045,-0.01735976409884621,-0.017512211682578993,217.87429645630772,213.24588962220724,211.43211169452923,231.7235,238.8552,245.9868,45.7963,15.3398,-0.2672,137.34,137.705,135.05,135.64,135.64,8996386.0,0.0,1.0,2.655000000000001,-0.01345552403811201,-0.013546869931704286,127.47562243409521,124.25775164464213,122.95538064075855,140.4151,132.6838,136.5494,49.4754,14.9297,0.3449,1.41,1.55,2.0,14.83,33.47,13.02,21.29,17.78,16.63,20.79,3370.29,29232.19,9732.742,52.1,1588.2,1589.85,57.35,2.04,1427.36,3340.14,24.14,1.0815,6.9949,109.8,1.3256,1.3017,1190.6,18.589000000000002,4.3507,71.56,0.6693,0.9814,14.975,7.7674,4.154,1.3921
2020-02-14,2155.68,2159.04,2125.89,2134.87,2134.87,2606169.0,0.0,1.0,33.15000000000009,-0.009648972245288046,-0.009695825210218167,2028.2279807780483,1987.359115659385,1971.2991028719384,2023.0428,2259.7019,1786.3836,72.7622,32.0482,78.2242,183.25,185.41,182.65,185.35,184.8466,23149516.0,0.0,1.0,2.759999999999991,-0.010041157552825974,-0.010091910003377613,175.9368263566315,173.9153749990006,173.31086643647924,193.7648,176.5837,159.4026,70.9437,43.5186,6.6183,324.73,325.98,322.85,324.95,324.95,20028447.0,0.0,1.0,3.1299999999999955,0.01865203761755474,0.018480221555513765,304.443764168716,300.7670340551107,299.6991284524764,328.3981,317.9377,307.4774,62.0531,29.8248,6.3267,1514.53,1520.05,1505.55,1518.73,1518.73,1159857.0,0.0,1.0,14.5,-0.0004672774179961259,-0.00046738662611112147,1433.8784632109878,1407.2144440181598,1397.0638697584413,1473.5082,1527.8549,1419.1616,66.1319,36.0068,28.4063,117.67,118.57,117.155,117.89,117.89,8099958.0,0.0,1.0,1.414999999999992,-0.014544846610382023,-0.014651659878777146,116.13155302052517,115.84399535408012,115.82741066631814,118.1815,114.4252,116.3033,54.0444,20.2356,-0.1103,237.94,239.01,236.23,237.08,235.6131,1718182.0,0.0,1.0,2.780000000000001,0.016594683453641013,0.016458496284195157,219.56370631761175,214.1230351272187,211.9109431461227,232.1061,239.4494,246.7927,50.0093,15.342,0.2277,137.84,138.19,136.94,137.46,137.46,6627562.0,0.0,1.0,1.25,0.013417870834562251,0.013328648436020885,128.42651553560995,124.775486874264,123.24260082609007,140.636,132.6543,136.6452,54.2037,15.2786,0.4859,1.42,1.59,2.04,13.68,35.93,11.62,21.39,17.27,15.72,20.35,3380.16,29398.08,9731.176,52.03,1576.35,1581.4,57.37,1.93,1427.35,3332.55,52.96,1.0839,6.9859,109.77,1.3251,1.3039,1183.2,18.57,4.3104,71.52,0.6719,0.9818,14.9,7.7672,4.14,1.3921
2020-02-13,2144.99,2170.28,2142.0,2149.87,2149.87,3031791.0,0.0,1.0,28.2800000000002,0.0070261889482732265,0.007001620298225042,2039.8129349896626,1993.7320915158798,1974.8351602408109,2011.2715,2242.5,1780.0429,75.4425,31.2124,78.2343,183.08,186.23,182.872,183.71,183.2111,35295834.0,0.0,1.0,3.3579999999999757,-0.008847877104583013,-0.00888725199741458,176.6296143226666,174.2799132343339,173.50691066545986,192.548,175.6609,158.7738,69.6843,42.8317,6.6713,324.19,326.22,323.35,324.87,324.87,23686892.0,0.0,1.0,2.8700000000000045,-0.0002461917218032905,-0.00024622203196056347,306.3891199621716,301.71224840589065,300.1975615524273,327.4776,317.1996,306.9216,62.012,30.626,6.4606,1510.0,1525.95,1504.0,1513.39,1513.39,1145658.0,0.0,1.0,21.950000000000045,-0.0035160956852106073,-0.003522291677709788,1441.450990524227,1411.3781913115654,1399.367357485997,1468.748,1520.4857,1417.0104,65.4273,35.9089,27.7775,115.85,117.535,115.5809,117.44,117.44,5330650.0,0.0,1.0,1.9540999999999968,-0.0038171176520485073,-0.003824421437830239,116.2561670185704,115.90658377156718,115.85934312837125,117.7683,114.5042,116.1363,52.6036,21.2722,-0.2791,237.85,238.97,236.57,238.35,236.8752,1461322.0,0.0,1.0,2.4000000000000057,0.0053566631057442304,0.005342367215384947,221.21242000164872,215.01527688693565,212.40528486600144,231.7556,239.6988,247.6421,51.4859,15.9714,0.4622,137.75,138.34,136.4,137.88,137.88,7446249.0,0.0,1.0,1.9399999999999977,0.0030554343081623525,0.0030507759552058644,129.32684738936138,125.28938934978306,123.53245031468234,140.5362,132.5826,136.5594,55.3636,16.0176,0.4735,1.44,1.61,2.07,14.15,35.84,11.59,22.1,18.08,15.92,21.19,3373.94,29423.31,9711.969000000001,51.41,1575.0,1575.05,56.34,1.95,1427.15,3325.28,39.57,1.0848,6.9759,109.81,1.3255,1.3051,1182.02,18.642,4.3302,71.27,0.6729,0.9788,14.887,7.7668,4.1398,1.3885
2020-02-12,2163.2,2180.25,2155.29,2160.0,2160.0,3334264.0,0.0,1.0,24.960000000000036,0.004711912813333052,0.004700846500869993,2051.259322133504,2000.2524016525122,1978.5017907310917,1996.6822,2218.2781,1775.0862,77.2686,30.0255,75.582,185.58,185.85,181.85,184.71,184.2084,47062921.0,0.0,1.0,4.0,0.005443447476708663,0.005428685463093608,177.3514034347936,174.66926565651687,173.71882134535176,191.7048,174.8137,157.9225,71.4789,42.0523,6.8089,321.47,327.22,321.47,327.2,327.2,28432573.0,0.0,1.0,5.75,0.007172099609074278,0.00714650242019399,308.3711085372029,302.7117680762479,300.7322633038644,326.7842,316.3922,306.0002,63.9271,31.4235,6.5457,1515.86,1520.3,1508.67,1518.63,1518.63,1552136.0,0.0,1.0,11.629999999999882,0.0034624254157884504,0.0034564450213796505,1448.8013723790627,1415.5841445934648,1401.7289939714228,1464.0489,1514.1815,1413.9163,66.7213,35.8059,27.1146,115.5,116.42,115.41,115.85,115.85,4730714.0,0.0,1.0,1.0100000000000051,-0.013538828337874675,-0.013631313987820803,116.21748444537322,115.90436480013318,115.85915811592827,117.4477,114.5504,115.9991,47.0287,21.9577,-0.4446,238.01,241.18,237.72,238.65,237.1734,2119117.0,0.0,1.0,3.460000000000008,0.0012588907576647212,0.0012580990190995678,222.73251333482503,215.88422289136955,212.89574259142714,231.9484,239.8408,247.7332,51.8293,16.6803,0.6253,138.6,139.285,137.8,138.0,138.0,7948022.0,0.0,1.0,1.4849999999999852,0.0008703220191470518,0.0008699435085404161,130.15286192370792,125.78784466939942,123.81893644706486,140.3196,132.5212,136.4204,55.6871,16.7955,0.408,1.44,1.62,2.09,13.74,35.58,11.07,20.54,17.03,15.57,20.82,3379.45,29551.42,9725.961,51.13,1566.75,1563.7,55.54,1.91,1426.42,3321.55,54.69,1.0893,6.9708,110.0,1.3243,1.2978,1178.98,18.627,4.3428,71.29,0.6746,0.9767,14.818,7.7702,4.1365,1.3858
2020-02-11,2150.9,2185.95,2136.0,2150.8,2150.8,5746011.0,0.0,1.0,49.94999999999982,-0.004259259259259185,-0.0042683557426874685,2060.739386692218,2006.156229038688,1981.9136364591889,1979.4908,2184.4331,1774.5486,76.7837,28.5182,70.0659,190.65,190.7,183.5,184.44,183.9391,53159906.0,0.0,1.0,7.199999999999989,-0.0014619311605769125,-0.001463000824580618,177.97880310767042,175.03278857194758,173.92120310088933,190.3838,173.7719,157.1601,71.2893,41.2569,6.7836,323.6,323.9,318.71,319.61,319.61,23580780.0,0.0,1.0,5.189999999999998,-0.023196821515892307,-0.023470102214576904,309.44147915270736,303.3744438379637,301.10607987210466,325.0418,315.2545,305.4673,60.1152,32.2629,6.3219,1513.27,1529.88,1505.45,1510.06,1510.06,1742647.0,0.0,1.0,24.430000000000064,-0.005643244239874168,-0.005659227502650133,1454.6355273905806,1419.2890800996036,1403.8741624076322,1458.3035,1505.5873,1411.0197,65.6663,35.776,25.3406,115.43,115.5,114.44,115.4,115.4,5796817.0,0.0,1.0,1.0600000000000023,-0.0038843331894690136,-0.0038918968043857305,116.1396287839091,115.88458578836325,115.8500658760089,117.4795,114.55,116.0148,45.2988,22.1129,-0.4876,239.0,239.55,236.22,236.46,234.9969,2238769.0,0.0,1.0,3.3300000000000125,-0.009176830116699342,-0.009219196614822067,223.90055016007977,216.6337396407276,213.333389272785,232.121,239.9661,247.8113,49.493,17.5351,0.7939,138.26,138.82,137.78,138.0,138.0,6577580.0,0.0,1.0,1.039999999999992,0.0,0.0,130.9002084071643,126.26675272157983,124.09974958672693,140.2516,132.2566,136.2541,55.6871,17.2162,0.3062,1.41,1.59,2.05,15.18,37.52,11.48,21.7,17.94,16.79,21.29,3357.75,29276.34,9638.940999999999,50.0,1567.7,1570.5,54.0,1.85,1424.82,3327.65,34.69,1.0917,6.965,109.78,1.3299,1.2945,1181.32,18.694000000000003,4.3346,71.25,0.6712,0.9761,14.850999999999999,7.7657,4.131,1.3863
2020-02-10,2085.01,2135.6,2084.96,2133.91,2133.91,5056235.0,0.0,1.0,50.63999999999987,-0.007852891947182639,-0.007883888283711116,2067.7080165310545,2011.1661808410925,1984.923465440195,1961.4583,2144.687,1778.2296,75.8867,26.9316,62.9429,183.58,188.84,183.25,188.7,188.1875,35844267.0,0.0,1.0,5.590000000000003,0.023096774965192246,0.022834081679230067,178.95105995455893,175.54865960834178,174.2037040295846,188.5928,172.649,156.7051,79.1813,40.017,6.6803,314.18,321.55,313.85,321.55,321.55,27337215.0,0.0,1.0,7.699999999999989,0.00606989768780708,0.006051550066857203,310.5946716143543,304.0872107462789,301.51090997364713,324.5358,314.7961,305.0563,61.6983,33.3592,6.717,1477.23,1508.88,1475.2,1508.66,1508.66,1915072.0,0.0,1.0,33.680000000000064,-0.0009271154788550451,-0.0009275455162276458,1459.7807152581445,1422.793822056482,1405.949129488669,1452.8555,1496.3541,1409.3568,65.4965,35.7445,23.5803,115.75,116.98,115.045,115.25,115.25,6137946.0,0.0,1.0,1.9350000000000023,-0.0012998266897747968,-0.0013006721972415036,116.05490223306062,115.85970007117254,115.83818338341466,117.5415,114.6174,116.0795,44.7272,21.747,-0.4895,237.4,237.87,235.4556,237.36,235.8913,2590392.0,0.0,1.0,2.4144000000000005,0.0038060076537178578,0.0037987831318426757,225.04252633531027,217.38893808618928,213.78008057431404,232.9448,240.3352,247.7256,50.4482,18.2592,1.2206,136.95,137.851,136.75,137.74,137.74,5958529.0,0.0,1.0,1.100999999999999,-0.00188405797101443,-0.0018858350406532054,131.55161713029153,126.71668398740024,124.36985355530659,140.0022,132.1384,136.0703,55.175,17.7749,0.1719,1.37,1.56,2.03,15.04,39.01,11.91,22.55,18.57,16.97,21.56,3352.09,29276.82,9628.391,49.59,1574.05,1573.2,53.39,1.85,1420.65,3334.37,61.81,1.0916,6.982,109.77,1.3323,1.2919,1186.96,18.767,4.3155,71.28,0.6674,0.9778,15.019,7.7657,4.148,1.3894
